raw_series,selection_class,registry_tcode,embedded_tcodes_seen,n_vintages_checked,n_vintages_hard_fail,n_vintages_with_flags,min_transformed_n_valid,median_transformed_n_valid,min_transformed_observed_fraction,median_transformed_observed_fraction,min_transformed_std,median_transformed_std,min_transformed_n_unique,n_zero_variance_vintages,n_near_zero_variance_vintages,n_vintages_with_nonpositive_log_input,n_vintages_with_zero_ratio_input,total_unexpected_transform_missing,total_unexpected_transform_value,total_inf_after_transform,n_vintages_short_pre_evaluation_history,stage2_hard_fail,stage2_status,hard_failure_reasons,stage2_flags,rank_low_min_transformed_n_valid,rank_low_min_transformed_observed_fraction,rank_low_min_transformed_std
DPCERA3M086SBEA,ordinary_stable,5,5,198,0,0,610,709.5,0.9958391123,0.9985601144,0.005159193606,0.005468765857,610,0,0,0,0,0,0,0,0,False,pass,,,17,31,29
DSERRG3M086SBEA,ordinary_stable,6,6,198,0,0,609,708.5,0.9944521498,0.9971202289,0.001562054629,0.001591079216,609,0,0,0,0,0,0,0,0,False,pass,,,12,21,2
DTCOLNVHFNM,ordinary_stable,6,6,198,0,0,608,707.5,0.9934640523,0.9957776193,0.02193302192,0.02429261103,608,0,0,0,0,0,0,0,0,False,pass,,,10,11,61
DTCTHFNM,ordinary_stable,6,6,198,0,0,608,707.5,0.9934640523,0.9957776193,0.01165176196,0.01972403878,608,0,0,0,0,0,0,0,0,False,pass,,,10,11,52
EXCAUSx,ordinary_stable,5,5,198,0,0,611,709.5,0.9983660131,0.9985925398,0.01236795573,0.01323117742,602,0,0,0,0,0,0,0,0,False,pass,,,43,89,55
EXJPUSx,ordinary_stable,5,5,198,0,0,611,709.5,0.9983660131,0.9985925398,0.02314726502,0.02359506953,588,0,0,0,0,0,0,0,0,False,pass,,,43,89,63
EXSZUSx,ordinary_stable,5,5,198,0,0,611,709.5,0.9983660131,0.9985925398,0.02419272249,0.02506672426,607,0,0,0,0,0,0,0,0,False,pass,,,43,89,64
EXUSUKx,ordinary_stable,5,5,198,0,0,611,709.5,0.9983660131,0.9985925398,0.02113660792,0.02146880218,610,0,0,0,0,0,0,0,0,False,pass,,,43,89,60
FEDFUNDS,ordinary_stable,2,2,198,0,0,611,709.5,0.9983660131,0.9985925398,0.4900849381,0.5174326282,277,0,0,0,0,0,0,0,0,False,pass,,,43,89,100
GS1,ordinary_stable,2,2,198,0,0,611,709.5,0.9983660131,0.9985925398,0.3999871148,0.4189830841,287,0,0,0,0,0,0,0,0,False,pass,,,43,89,96
GS10,ordinary_stable,2,2,198,0,0,611,709.5,0.9983660131,0.9985925398,0.2700122341,0.2774968737,241,0,0,0,0,0,0,0,0,False,pass,,,43,89,84
GS5,ordinary_stable,2,2,198,0,0,611,709.5,0.9983660131,0.9985925398,0.3112768652,0.3218109303,251,0,0,0,0,0,0,0,0,False,pass,,,43,89,87
HOUST,ordinary_stable,4,4,198,0,0,612,710.5,0.99626401,1,0.2620257639,0.3094020786,477,0,0,0,0,0,0,0,0,False,pass,,,98,54,83
HOUSTMW,ordinary_stable,4,4,198,0,0,612,710.5,0.99626401,1,0.3341403273,0.4145329221,280,0,0,0,0,0,0,0,0,False,pass,,,98,54,89
HOUSTNE,ordinary_stable,4,4,198,0,0,612,710.5,0.99626401,1,0.3640934575,0.415259392,225,0,0,0,0,0,0,0,0,False,pass,,,98,54,94
HOUSTS,ordinary_stable,4,4,198,0,0,612,710.5,0.99626401,1,0.2808029742,0.3004431946,398,0,0,0,0,0,0,0,0,False,pass,,,98,54,85
