canonical_id,review_mode,pair_role,old_reference_series,new_reference_series,canonical_tcode,reference_date,old_transformed,new_transformed,difference_new_minus_old
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1923-02-01,-0.00516786186074536,0.00726510754332987,0.0124329694040752
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1923-03-01,-0.00911782078168999,0.00591518928025336,0.0150330100619434
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1923-04-01,0.00390969427338139,-4.62150930036209e-06,-0.00391431578268175
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1923-05-01,0.00280949153392029,0.00391208480673733,0.00110259327281703
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1923-06-01,-0.00513247172802722,-0.00481653623277789,0.000315935495249331
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1923-07-01,0.00385631847982304,0.00389020066008205,3.3882180259015e-05
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1923-08-01,-0.0040404917779604,-0.00690030601969882,-0.00285981424173842
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1923-09-01,-0.000874936413168603,0.0144210445245445,0.0152959809377131
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1923-10-01,-0.0103610893841612,-0.0131780106534827,-0.00281692126932143
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1923-11-01,0.0182738307052628,0.0131989442804288,-0.005074886424834
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1923-12-01,-0.00546512593625259,0.00629518283519137,0.011760308771444
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1924-01-01,-0.00559440924212229,-0.0486947847305821,-0.0431003754884598
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1924-02-01,0.0102970217576237,0.0244790365147365,0.0141820147571128
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1924-03-01,0.000116629583895245,0.0146681934271731,0.0145515638432778
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1924-04-01,-0.00537718990672498,-0.00855452881344454,-0.00317733890671956
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1924-05-01,-0.00206721380255592,-0.00121508196882814,0.000852131833727787
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1924-06-01,0.00634375507570883,0.00692151984834055,0.000577764772631717
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1924-07-01,-0.00344412331678745,-0.00278783874876276,0.00065628456802469
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1924-08-01,0.00168781067207147,-0.00138438194637369,-0.00307219261844516
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1924-09-01,-0.00154268761198351,0.0129042238337544,0.014446911445738
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1924-10-01,-0.00287878870072178,-0.00656833846175298,-0.0036895497610312
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1924-11-01,0.00991676679128495,0.00620739629712097,-0.00370937049416398
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1924-12-01,-0.00841669369215858,0.00480220463261549,0.0132188983247741
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1925-01-01,-0.00384343049420277,-0.0507668277905227,-0.0469233972963199
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1925-02-01,0.0013360041977839,0.0172559190634647,0.0159199148656808
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1925-03-01,-0.00251617291882655,0.0117331109311678,0.0142492838499944
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1925-04-01,-0.00017865775897774,-0.00170249972177561,-0.00152384196279787
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1925-05-01,0.00403791571772438,0.00322253979522347,-0.000815375922500916
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1925-06-01,-4.5362129186266e-07,0.00169984210737217,0.00170029572866404
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1925-07-01,0.00117591885826096,0.00237106648742036,0.0011951476291594
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1925-08-01,0.00234086109612153,-0.00153175039622822,-0.00387261149234974
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1925-09-01,-0.00135081696359851,0.0130592154244209,0.0144100323880194
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1925-10-01,0.000989301983698176,-0.00350835222024237,-0.00449765420394055
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1925-11-01,-0.00416088865270137,-0.00682154974140525,-0.00266066108870389
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1925-12-01,0.00398197541496836,0.0177399211802007,0.0137579457652324
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1926-01-01,-0.00331851325670929,-0.0528849284379918,-0.0495664151812825
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1926-02-01,0.00379872227894507,0.0207711508687949,0.0169724285898498
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1926-03-01,-0.00495445440702635,0.00961545869944191,0.0145699131064683
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1926-04-01,0.00115453041768676,0.000499625291432437,-0.000654905126254324
